long,long,long,long,str,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,flags,str,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,long,long,long,long,flags,long,str,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,float,long,long
6,-1,-1,0,"Level 10",,,,,,,,,,,,,,,,0xFF01FE,"Reach level 10.",,,,,,,,,,,,,,,,16712190,92,10,1,0x4,3268,"",,,,,,,,,,,,,,,,2,34187437617291E-38,0,0
33,1,-1,0,"Nothing Boring About Borean",,,,,,,,,,,,,,,,0xFF01FE,"Complete 130 quests in Borean Tundra.",,,,,,,,,,,,,,,,16712190,14863,10,1,0x88,3336,"",,,,,,,,,,,,,,,,2,34187437617291E-38,0,0
42,-1,-1,0,"Explore Eastern Kingdoms",,,,,,,,,,,,,,,,0xFF01FE,"Explore the regions of Eastern Kingdoms.",,,,,,,,,,,,,,,,16712190,97,25,1,0x0,3490,"",,,,,,,,,,,,,,,,2,34187437617291E-38,0,0
57,-1,30,0,"Deaths in Alterac Valley",,,,,,,,,,,,,,,,0xFF01FE,"Deaths in Alterac Valley",,,,,,,,,,,,,,,,16712190,124,0,1,0x1,1,"",,,,,,,,,,,,,,,,2,34187437617291E-38,0,0
60,-1,-1,0,"Total deaths",,,,,,,,,,,,,,,,0xFF01FE,"Total deaths",,,,,,,,,,,,,,,,16712190,122,0,1,0x1,1,"",,,,,,,,,,,,,,,,2,34187437617291E-38,0,0
98,-1,-1,0,"Quests completed",,,,,,,,,,,,,,,,0xFF01FE,"Quests completed",,,,,,,,,,,,,,,,16712190,133,0,1,0x9,0,"",,,,,,,,,,,,,,,,2,34187437617291E-38,0,0
107,-1,-1,0,"Creatures killed",,,,,,,,,,,,,,,,0xFF01FE,"Creatures killed",,,,,,,,,,,,,,,,16712190,135,0,1,0x9,4,"",,,,,,,,,,,,,,,,2,34187437617291E-38,0,0
112,-1,-1,0,"Deaths from drowning",,,,,,,,,,,,,,,,0xFF01FE,"Deaths from drowning",,,,,,,,,,,,,,,,16712190,126,0,1,0x1,4,"",,,,,,,,,,,,,,,,2,34187437617291E-38,0,0
116,-1,-1,0,"Professional Journeyman",,,,,,,,,,,,,,,,0xFF01FE,"Become a Journeyman in a profession.",,,,,,,,,,,,,,,,16712190,169,10,1,0x0,2846,"",,,,,,,,,,,,,,,,2,34187437617291E-38,1,0
121,-1,-1,0,"Journeyman Cook",,,,,,,,,,,,,,,,0xFF01FE,"Become a Journeyman Cook.",,,,,,,,,,,,,,,,16712190,170,10,1,0x0,1467,"",,,,,,,,,,,,,,,,2,34187437617291E-38,0,0
126,-1,-1,0,"Journeyman Fisherman",,,,,,,,,,,,,,,,0xFF01FE,"Become a Journeyman Fisherman.",,,,,,,,,,,,,,,,16712190,171,10,1,0x0,580,"",,,,,,,,,,,,,,,,2,34187437617291E-38,0,0
